관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : KBO   시즌 : 2021,2022,2023,2024  시즌구분  : 전체   구단구분 : 전체     요일 :   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2023 시즌,2023,10,04,수,KT,KIA,수원케이티위즈파크,비,23.9℃,"5,907"
KBO,정규리그,2023 시즌,2023,10,04,수,SSG,NC,인천SSG 랜더스필드,비,22.8℃,"8,006"
KBO,정규리그,2023 시즌,2023,10,04,수,롯데,LG,부산 사직 야구장,구름많음,26.5℃,"6,970"
KBO,정규리그,2023 시즌,2023,10,04,수,삼성,한화,대구 삼성 라이온즈 파크,구름많음,24.8℃,"12,571"
KBO,정규리그,2023 시즌,2023,10,03,화,두산,키움히어로즈,서울 잠실 야구장,구름조금,22.5℃,"14,588"
KBO,정규리그,2023 시즌,2023,10,03,화,SSG,NC,인천SSG 랜더스필드,구름조금,22.4℃,"14,507"
KBO,정규리그,2023 시즌,2023,10,03,화,KT,KIA,수원케이티위즈파크,구름조금,23℃,"16,841"
KBO,정규리그,2023 시즌,2023,10,03,화,롯데,삼성,부산 사직 야구장,비,22.5℃,"13,042"
KBO,정규리그,2023 시즌,2023,10,02,월,두산,키움히어로즈,서울 잠실 야구장,맑음,24.6℃,"18,050"
KBO,정규리그,2023 시즌,2023,10,02,월,롯데,삼성,부산 사직 야구장,구름조금,26.1℃,"15,868"
KBO,정규리그,2023 시즌,2023,10,02,월,롯데,삼성,부산 사직 야구장,구름조금,26.1℃,"16,293"
KBO,정규리그,2023 시즌,2023,10,02,월,한화,NC,대전 한화생명 이글스파크,구름조금,23.6℃,"12,000"
KBO,정규리그,2023 시즌,2023,10,02,월,KT,LG,수원케이티위즈파크,맑음,24.4℃,"18,700"
KBO,정규리그,2023 시즌,2023,10,01,일,두산,LG,서울 잠실 야구장,맑음,23.7℃,"23,750"
KBO,정규리그,2023 시즌,2023,10,01,일,SSG,KIA,인천SSG 랜더스필드,맑음,22.7℃,"22,701"
KBO,정규리그,2023 시즌,2023,10,01,일,롯데,삼성,부산 사직 야구장,맑음,26℃,"20,159"
KBO,정규리그,2023 시즌,2023,10,01,일,KT,키움히어로즈,수원케이티위즈파크,맑음,23.4℃,"11,337"
KBO,정규리그,2023 시즌,2023,10,01,일,한화,NC,대전 한화생명 이글스파크,맑음,23.3℃,"11,004"
KBO,정규리그,2023 시즌,2023,09,30,토,SSG,KIA,인천SSG 랜더스필드,비,22.4℃,"22,191"
KBO,정규리그,2023 시즌,2023,09,30,토,삼성,NC,대구 삼성 라이온즈 파크,비,25.1℃,"24,000"
KBO,정규리그,2023 시즌,2023,09,30,토,두산,LG,서울 잠실 야구장,비,22.2℃,"23,750"
KBO,정규리그,2023 시즌,2023,09,29,금,키움히어로즈,KIA,서울고척스카이돔,구름많음,26.9℃,"14,472"
KBO,정규리그,2023 시즌,2023,09,29,금,롯데,한화,부산 사직 야구장,구름조금,28.6℃,"10,279"
KBO,정규리그,2023 시즌,2023,09,29,금,두산,LG,서울 잠실 야구장,구름많음,26.9℃,"20,951"
KBO,정규리그,2023 시즌,2023,09,28,목,LG,삼성,서울 잠실 야구장,구름조금,27.3℃,"21,057"
KBO,정규리그,2023 시즌,2023,09,28,목,롯데,한화,부산 사직 야구장,맑음,29.3℃,"12,227"
KBO,정규리그,2023 시즌,2023,09,28,목,NC,KIA,창원NC파크,구름조금,29.9℃,"11,864"
KBO,정규리그,2023 시즌,2023,09,28,목,키움히어로즈,SSG,서울고척스카이돔,구름조금,27.3℃,"7,082"
KBO,정규리그,2023 시즌,2023,09,27,수,LG,KT,서울 잠실 야구장,비,23.7℃,"5,656"
KBO,정규리그,2023 시즌,2023,09,27,수,SSG,두산,인천SSG 랜더스필드,비,22.7℃,"6,526"
KBO,정규리그,2023 시즌,2023,09,27,수,NC,KIA,창원NC파크,흐림,28.4℃,"3,775"
KBO,정규리그,2023 시즌,2023,09,27,수,한화,삼성,대전 한화생명 이글스파크,비,23.9℃,"2,807"
KBO,정규리그,2023 시즌,2023,09,27,수,LG,KT,서울 잠실 야구장,비,23.7℃,"14,733"
KBO,정규리그,2023 시즌,2023,09,27,수,SSG,두산,인천SSG 랜더스필드,비,22.7℃,"12,132"
KBO,정규리그,2023 시즌,2023,09,27,수,NC,KIA,창원NC파크,흐림,28.4℃,"8,190"
KBO,정규리그,2023 시즌,2023,09,27,수,한화,삼성,대전 한화생명 이글스파크,비,23.9℃,"7,281"
KBO,정규리그,2023 시즌,2023,09,26,화,LG,KT,서울 잠실 야구장,비,20.8℃,0
KBO,정규리그,2023 시즌,2023,09,26,화,SSG,두산,인천SSG 랜더스필드,비,20.9℃,0
KBO,정규리그,2023 시즌,2023,09,26,화,NC,KIA,창원NC파크,비,22.3℃,"6,945"
KBO,정규리그,2023 시즌,2023,09,26,화,한화,삼성,대전 한화생명 이글스파크,비,22.2℃,0
KBO,정규리그,2023 시즌,2023,09,24,일,LG,한화,서울 잠실 야구장,구름조금,26.2℃,"20,369"
KBO,정규리그,2023 시즌,2023,09,24,일,SSG,롯데,인천SSG 랜더스필드,구름조금,25.6℃,"16,280"
KBO,정규리그,2023 시즌,2023,09,24,일,NC,두산,창원NC파크,구름조금,26.5℃,"8,247"
KBO,정규리그,2023 시즌,2023,09,24,일,KIA,KT,광주-기아 챔피언스 필드,구름조금,27.9℃,"10,108"
KBO,정규리그,2023 시즌,2023,09,23,토,KIA,KT,광주-기아 챔피언스 필드,구름많음,25.4℃,"13,846"
KBO,정규리그,2023 시즌,2023,09,23,토,NC,두산,창원NC파크,구름많음,26.4℃,"11,026"
KBO,정규리그,2023 시즌,2023,09,23,토,SSG,롯데,인천SSG 랜더스필드,구름조금,26.5℃,"19,725"
KBO,정규리그,2023 시즌,2023,09,23,토,LG,한화,서울 잠실 야구장,구름조금,27.6℃,"22,765"
KBO,정규리그,2023 시즌,2023,09,22,금,LG,NC,서울 잠실 야구장,맑음,26.7℃,"16,269"
KBO,정규리그,2023 시즌,2023,09,22,금,SSG,롯데,인천SSG 랜더스필드,맑음,25.3℃,"11,561"
KBO,정규리그,2023 시즌,2023,09,22,금,삼성,두산,대구 삼성 라이온즈 파크,구름조금,26.5℃,"11,568"
KBO,정규리그,2023 시즌,2023,09,22,금,KIA,KT,광주-기아 챔피언스 필드,구름조금,26.5℃,"10,221"
KBO,정규리그,2023 시즌,2023,09,22,금,한화,키움히어로즈,대전 한화생명 이글스파크,구름조금,24.9℃,"7,088"
KBO,정규리그,2023 시즌,2023,09,21,목,한화,KIA,대전 한화생명 이글스파크,비,21.5℃,"7,747"
KBO,정규리그,2023 시즌,2023,09,21,목,키움히어로즈,NC,서울고척스카이돔,구름많음,23.6℃,"5,178"
KBO,정규리그,2023 시즌,2023,09,21,목,KT,롯데,수원케이티위즈파크,흐림,22.4℃,"7,691"
KBO,정규리그,2023 시즌,2023,09,21,목,삼성,두산,대구 삼성 라이온즈 파크,비,21.2℃,"7,596"
KBO,정규리그,2023 시즌,2023,09,21,목,SSG,LG,인천SSG 랜더스필드,비,22.8℃,"12,353"
KBO,정규리그,2023 시즌,2023,09,20,수,두산,NC,서울 잠실 야구장,비,23.9℃,0
KBO,정규리그,2023 시즌,2023,09,20,수,삼성,SSG,대구 삼성 라이온즈 파크,비,24.9℃,0
KBO,정규리그,2023 시즌,2023,09,20,수,KT,LG,수원케이티위즈파크,비,22.5℃,0
KBO,정규리그,2023 시즌,2023,09,20,수,KIA,키움히어로즈,광주-기아 챔피언스 필드,비,25.5℃,0
KBO,정규리그,2023 시즌,2023,09,20,수,한화,롯데,대전 한화생명 이글스파크,비,22.9℃,0
KBO,정규리그,2023 시즌,2023,09,19,화,두산,NC,서울 잠실 야구장,흐림,27.2℃,"6,726"
KBO,정규리그,2023 시즌,2023,09,19,화,롯데,키움히어로즈,부산 사직 야구장,구름조금,29.5℃,"5,523"
KBO,정규리그,2023 시즌,2023,09,19,화,KT,삼성,수원케이티위즈파크,흐림,28.1℃,"7,216"
KBO,정규리그,2023 시즌,2023,09,19,화,KIA,LG,광주-기아 챔피언스 필드,구름많음,28.6℃,"8,871"
KBO,정규리그,2023 시즌,2023,09,19,화,한화,SSG,대전 한화생명 이글스파크,흐림,28.3℃,"4,014"
KBO,정규리그,2023 시즌,2023,09,18,월,한화,KT,대전 한화생명 이글스파크,비,30.1℃,"3,425"
KBO,정규리그,2023 시즌,2023,09,18,월,KIA,두산,광주-기아 챔피언스 필드,구름조금,30.4℃,"3,482"
KBO,정규리그,2023 시즌,2023,09,17,일,삼성,롯데,대구 삼성 라이온즈 파크,비,27.9℃,"18,746"
KBO,정규리그,2023 시즌,2023,09,17,일,KIA,두산,광주-기아 챔피언스 필드,비,28.7℃,"12,878"
KBO,정규리그,2023 시즌,2023,09,17,일,LG,SSG,서울 잠실 야구장,비,28℃,"15,193"
KBO,정규리그,2023 시즌,2023,09,17,일,한화,KT,대전 한화생명 이글스파크,흐림,28.6℃,"7,406"
KBO,정규리그,2023 시즌,2023,09,17,일,LG,SSG,서울 잠실 야구장,비,28℃,"14,237"
KBO,정규리그,2023 시즌,2023,09,17,일,한화,KT,대전 한화생명 이글스파크,흐림,28.6℃,"6,228"
KBO,정규리그,2023 시즌,2023,09,16,토,LG,SSG,서울 잠실 야구장,비,26.6℃,"18,576"
KBO,정규리그,2023 시즌,2023,09,16,토,롯데,키움히어로즈,부산 사직 야구장,비,25.8℃,0
KBO,정규리그,2023 시즌,2023,09,16,토,NC,삼성,창원NC파크,비,24.5℃,0
KBO,정규리그,2023 시즌,2023,09,16,토,KIA,두산,광주-기아 챔피언스 필드,비,27.1℃,0
KBO,정규리그,2023 시즌,2023,09,16,토,한화,KT,대전 한화생명 이글스파크,비,26.5℃,0
KBO,정규리그,2023 시즌,2023,09,15,금,한화,LG,대전 한화생명 이글스파크,비,24.2℃,"5,724"
KBO,정규리그,2023 시즌,2023,09,15,금,KIA,두산,광주-기아 챔피언스 필드,비,27.7℃,"7,350"
KBO,정규리그,2023 시즌,2023,09,15,금,NC,삼성,창원NC파크,비,24.2℃,"4,129"
KBO,정규리그,2023 시즌,2023,09,15,금,롯데,키움히어로즈,부산 사직 야구장,비,26.8℃,"6,409"
KBO,정규리그,2023 시즌,2023,09,14,목,두산,SSG,서울 잠실 야구장,흐림,27.2℃,"7,257"
KBO,정규리그,2023 시즌,2023,09,14,목,삼성,KT,대구 삼성 라이온즈 파크,비,24.5℃,"6,850"
KBO,정규리그,2023 시즌,2023,09,14,목,NC,LG,창원NC파크,비,24.5℃,0
KBO,정규리그,2023 시즌,2023,09,14,목,KIA,롯데,광주-기아 챔피언스 필드,비,26℃,0
KBO,정규리그,2023 시즌,2023,09,13,수,KIA,롯데,광주-기아 챔피언스 필드,비,25.4℃,"6,323"
KBO,정규리그,2023 시즌,2023,09,13,수,NC,KT,창원NC파크,비,27.7℃,"3,919"
KBO,정규리그,2023 시즌,2023,09,13,수,두산,SSG,서울 잠실 야구장,비,24.6℃,0
KBO,정규리그,2023 시즌,2023,09,12,화,두산,한화,서울 잠실 야구장,구름많음,29.8℃,"10,169"
KBO,정규리그,2023 시즌,2023,09,12,화,SSG,KT,인천SSG 랜더스필드,구름많음,28.7℃,"10,309"
KBO,정규리그,2023 시즌,2023,09,12,화,롯데,NC,부산 사직 야구장,구름많음,30.3℃,"8,202"
KBO,정규리그,2023 시즌,2023,09,12,화,삼성,KIA,대구 삼성 라이온즈 파크,흐림,30.6℃,"9,037"
KBO,정규리그,2023 시즌,2023,09,10,일,두산,삼성,서울 잠실 야구장,구름많음,29.6℃,"17,467"
KBO,정규리그,2023 시즌,2023,09,10,일,NC,롯데,창원NC파크,구름조금,30℃,"13,984"
KBO,정규리그,2023 시즌,2023,09,10,일,KT,SSG,수원케이티위즈파크,구름많음,30.4℃,"11,212"
KBO,정규리그,2023 시즌,2023,09,10,일,KIA,LG,광주-기아 챔피언스 필드,구름많음,30.7℃,"13,948"
KBO,정규리그,2023 시즌,2023,09,10,일,키움히어로즈,한화,서울고척스카이돔,구름많음,29.6℃,"11,313"
KBO,정규리그,2023 시즌,2023,09,09,토,두산,삼성,서울 잠실 야구장,구름조금,31.2℃,"14,279"
KBO,정규리그,2023 시즌,2023,09,09,토,NC,롯데,창원NC파크,맑음,30.8℃,"10,933"
KBO,정규리그,2023 시즌,2023,09,09,토,KIA,LG,광주-기아 챔피언스 필드,맑음,30.7℃,"11,820"
KBO,정규리그,2023 시즌,2023,09,09,토,키움히어로즈,한화,서울고척스카이돔,구름조금,31.2℃,"9,962"
KBO,정규리그,2023 시즌,2023,09,09,토,KT,SSG,수원케이티위즈파크,구름조금,31.1℃,"13,739"
KBO,정규리그,2023 시즌,2023,09,09,토,두산,삼성,서울 잠실 야구장,구름조금,31.2℃,"21,514"
KBO,정규리그,2023 시즌,2023,09,09,토,NC,롯데,창원NC파크,맑음,30.8℃,"17,861"
KBO,정규리그,2023 시즌,2023,09,09,토,KIA,LG,광주-기아 챔피언스 필드,맑음,30.7℃,"18,462"
KBO,정규리그,2023 시즌,2023,09,09,토,키움히어로즈,한화,서울고척스카이돔,구름조금,31.2℃,"10,028"
KBO,정규리그,2023 시즌,2023,09,08,금,두산,삼성,서울 잠실 야구장,맑음,30.5℃,"15,991"
KBO,정규리그,2023 시즌,2023,09,08,금,NC,롯데,창원NC파크,맑음,29.4℃,"12,684"
KBO,정규리그,2023 시즌,2023,09,08,금,KT,SSG,수원케이티위즈파크,맑음,30.6℃,"7,200"
KBO,정규리그,2023 시즌,2023,09,08,금,KIA,LG,광주-기아 챔피언스 필드,맑음,29.9℃,"12,280"
